Unique_ID,Category,Facility,ItemNumber,Item Unit,ItemName,Substance Name,Waste (AER) Code,DATAAREAID
707087sesc,AOS-FST,"ALITM,AMSWD,ATSWD,BCFST,BKFST,BLFST,BLSWD,BMSWD,BRSWD,BSFST,BVFST,BWFST,CHFST,COFST,CUFST,DCFST,DRFST,DVFST,ECSWD,EDFST,EMSWD,EPFST,FCFST,FIFST,FJFST,FMFST,FTFST,FXFST,GCSWD,GDFST,GDSWD,GLFST,GRFST,HBFST,HPFST,HUCAV,JCFST,KBSWD,KDFST,KIFST,KOFST,KSSWD,K,13MWD,KNEWD,STNWD,WATWDWFST,KWSWD,LAFST,LGFST,LGSWD,LICAV,MCSWD,MIFST,MISWD,MRSWD,NHFST,NJFST,OBFST,PRFST,PSSWD,RLFST,ROFST,RYFSR,SBFST,SGPFS,SHSWD,SISWD,SRFST,SSFST,STFST,SVFST,SWFST,TAFST,TCSWD,TDFST,TULSO,UNCAV,VVFST,WEFST",707087,M3,Miscellaneous Charge,Miscellaneous Charge,,sesc
707077sesc,AOS-FST,"BCFST,BKFST,BLFST,BRSWD,BSFST,BVFST,BWFST,COFST,DCFST,DRFST,DVFST,EDFST,FCFST,FIFST,FJFST,FMFST,FXFST,GDFST,GLFST,GRFST,HBFST,HPFST,HUCAV,JCFST,KDFST,KOFST,LAFST,LGFST,LICAV,MIFST,NJFST,OBFST,PRFST,RLFST,ROFST,SBFST,SGPFS,SRFST,SSFST,STFST,TAFSTSWFST,TULSO,UNCAV,VVFST,WEFST",707077,M3,Truck Flush,Truck Flush,,sesc
707080sesc,AOS-FST,"BCFST,BKFST,BLFST,BRSWD,BSFST,BVFST,BWFST,COFST,DCFST,DRFST,DVFST,EDFST,FCFST,FTFST,FXFST,GDFST,GLFST,GRFST,HBFST,HPFST,HUCAV,JCFST,KDFST,KOFST,LAFST,LGFST,LICAV,MIFST,NJFST,OBFST,PRFST,RLFST,ROFST,SBFST,SGPFS,SRFST,SSFST,STFST,SWFST,TAFST,TCSWD,VVFST,WEFST",707080,M3,Fresh Water Service,Fresh Water Service,,sesc
707078sesc,AOS-FST,"BCFST,BKFST,BLFST,BRSWD,BSFST,BVFST,BWFST,COFST,DCFST,DRFST,DVFST,FCFST,FXFST,GDFST,GLFST,GRFST,HBFST,HPFST,JCFST,KDFST,KOFST,LAFST,LGFST,LICAV,MIFST,NJFST,OBFST,PRFST,RLFST,ROFST,SBFST,SGPFS,SRFST,STFST,SWFST,TAFST,VVFST,WEFST",707078,M3,Truck Steam,Truck Steam,,sesc
707086sesc,AOS-FST,"BCFST,BKFST,BRSWD,BSFST,BVFST,BWFST,COFST,DCFST,DRFST,EDFST,EPFST,FMFST,GLFST,HBFST,HUCAV,JCFST,LAFST,LGFST,LICAV,OBFST,ROFST,RYFSR,TAFST,TDFST,TULSO,UNCAV",707086,M3,H2S Scavenger,,,sesc
707085sesc,AOS-FST,,707085,M3,Trucking billed to customers,,,sesc
707077sesu,AOS-FST,"13MWD,KNEWD,STNWD",707077,BBL,Truck Flush,Truck Flush,,sesu
707086sesu,AOS-FST,"13MWD,KNEWD,STNWD",707086,BBL,H2S Scavenger,,,sesu
707087sesu,AOS-FST,"WGFST,WNSWD,WRSWD",707087,BBL,Miscellaneous Charge,Miscellaneous Charge,,sesu
707078sesu,AOS-FST,,707078,BBL,Truck Steam,Truck Steam,,sesu
707080sesu,AOS-FST,,707080,BBL,Fresh Water Service,Fresh Water Service,,sesu
707085sesu,AOS-FST,,707085,BBL,Trucking billed to customers,,,sesu
703020sesc,AOS-LF,"BONLF,ELKLF,EPELF,FOXLF,FXCLF,GULLF,JANLF,JUDLF,KINLF,LAGLF,LOMLF,MARLF,MEDLF,MERLF,NORLF,PEMLF,PINLF,RNBLF,SADLF,SGPLF,SIBLF,SPILF,SWALF,SWILF,TULLF,VRDLF,WGELF,WGRLF",703020,EA,Miscellaneous Charge (LF),Miscellaneous Charges,,sesc
703027sesc,AOS-LF,"BONLF,ELKLF,EPELF,FOXLF,FXCLF,GULLF,JANLF,JUDLF,KINLF,LAGLF,LOMLF,MARLF,MEDLF,MERLF,NORLF,PEMLF,PINLF,RNBLF,SADLF,SGPLF,SIBLF,SPILF,SWALF,SWILF,TULLF,VRDLF,WGELF,WGRLF",703027,EA,Minimum Load Charge,,,sesc
703028sesc,AOS-LF,"NORLF,SIBLF",703028,Tonnes,Government Waste Fee,,,sesc
703038sesc,AOS-LF,"NORLF,SIBLF",703038,Tonnes,Blueberry River First Nations Levy,,,sesc
703029sesc,AOS-LF,PINLF,703029,Tonnes,Road Use Fee,,,sesc
703026sesc,AOS-LF,,703026,Tonnes,Disposal Trucking Charges,,,sesc
703020sesu,AOS-LF,WSTLF,703020,EA,Miscellaneous Charge (LF),Miscellaneous Charges,,sesu
703026sesu,AOS-LF,WSTLF,703026,Ton,Disposal Trucking Charges,,,sesu
703023sesu,AOS-LF,,703023,Ton,Clean Fill Sales,Clean Fill Sales,,sesu
703025sesc,AOS-Liner,"BONLF,ELKLF,EPELF,FOXLF,FXCLF,GULLF,JANLF,JUDLF,KINLF,LAGLF,LOMLF,MARLF,MEDLF,MERLF,NORLF,PEMLF,PINLF,RNBLF,SADLF,SGPLF,SIBLF,SPILF,SWALF,SWILF,TULLF,VRDLF,WGELF,WGRLF",703025,EA,Liner Disposal,,,sesc
703025sesu,AOS-Liner,WSTLF,703025,EA,Liner Disposal,,,sesu
703033sesc,AOS-UoM C1,PEMLF,703033,Drum,Landfill Disposal Class 1- Drum,,,sesc
703031sesc,AOS-UoM C1,PEMLF,703031,EA,Landfill Disposal Class 1 - Each,,,sesc
703035sesc,AOS-UoM C1,PEMLF,703035,M3,Landfill Disposal Class 1 - M3,,,sesc
703037sesc,AOS-UoM C1,PEMLF,703037,Tote,Landfill Disposal Class 1- Tote,,,sesc
703032sesc,AOS-UoM C2,PEMLF,703032,Drum,Landfill Disposal - Drum,,,sesc
703030sesc,AOS-UoM C2,"BONLF,ELKLF,EPELF,FOXLF,FXCLF,GULLF,JANLF,JUDLF,KINLF,LAGLF,LOMLF,MARLF,MEDLF,MERLF,NORLF,PEMLF,PINLF,RNBLF,SADLF,SGPLF,SIBLF,SPILF,SWALF,SWILF,TULLF,VRDLF,WGELF,WGRLF",703030,EA,Landfill Disposal - Each,,,sesc
703034sesc,AOS-UoM C2,PEMLF,703034,M3,Landfill Disposal - M3,,,sesc
703036sesc,AOS-UoM C2,PEMLF,703036,Tote,Landfill Disposal - Tote,,,sesc
703032sesu,AOS-UoM C2,WSTLF,703032,Drum,Landfill Disposal - Drum,,,sesu
703030sesu,AOS-UoM C2,WSTLF,703030,EA,Landfill Disposal - Each,,,sesu
703034sesu,AOS-UoM C2,WSTLF,703034,M3,Landfill Disposal - M3,,,sesu
703036sesu,AOS-UoM C2,WSTLF,703036,Tote,Landfill Disposal - Tote,,,sesu
704030sesc,Standard,,704030,M3,Waste Water Disposal,Acid Solutions,ACID,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Boiler Blowdown Water,BLBDWT,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,"Caustic Solutions (unneutralized, spent)",CAUS,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Corrosion Inhibitor/Oxygen Scavenger Solutions,CORINH,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Filter Backwash Liquids (gas sweetening),FLBWSW,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Filter Backwash Liquids (water treatment),FLBWWT,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Glycol Solutions (no heavy metals),GLYC,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Hydrotest Fluids - Methanol,METHNL,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Non-Oilfield Class Ib Water (Secure Leachate Only),NONOFD,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Non-Oilfield Waste,NONOFD,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Pigging Waste (liquid & wax),PIGWST,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Saline Water/Brackish Water - TDS > 4000ppm,BRKWTR,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Sludge - Emulsion,SLGEML,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Sludge - Hydrocarbon,SLGHYD,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Sweetening Agents (liquids),SWTLIQ,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Wash Fluids - Organic,WSHORG,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Wash Fluids - Water,WSHWTR,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Waste - Miscellaneous,WSTMIS,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Waste Flammable Liquid,WSTFLQ,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Water - Process (with heavy metals),PWTRHM,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Water Process (with organic chemicals,PWTROR,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Water-Contaminated Produced (Incl Brine Solutions),WATER,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Waters Contaminated (collected surface waters),CWATER,sesc
704030sesc,Standard,,704030,M3,Waste Water Disposal,Well Workover Fluids,WWOFLD,sesc
704031sesc,Standard,,704031,M3,Produced Water Disposal,NONOFD-Sour Produced Water,NONOFD,sesc
704031sesc,Standard,,704031,M3,Produced Water Disposal,NONOFD-Sweet Produced Water,NONOFD,sesc
704031sesc,Standard,,704031,M3,Produced Water Disposal,Sour Produced Water,WATER,sesc
704031sesc,Standard,,704031,M3,Produced Water Disposal,Sweet Produced Water,WATER,sesc
704032sesc,Standard,,704032,M3,Flowback Water,Frac - NONOFD,NONOFD,sesc
704032sesc,Standard,,704032,M3,Flowback Water,Frac Fluid (hydrocarbon based),FRFLDH,sesc
704032sesc,Standard,,704032,M3,Flowback Water,Frac Fluid (water based),FRFLDW,sesc
704033sesc,Standard,,704033,M3,Scavenger - Tank Truck,Non-Oilfield Waste,NONOFD,sesc
704033sesc,Standard,,704033,M3,Scavenger - Tank Truck,Sweetening Agents (liquids),SWTLIQ,sesc
